ID,Language,Dataset,Modality,Use,Features,Source Paper,Dataset Access,Cited By
152,Assamese,HASOC 2023 test set,Text,Sentiment Analysis,"The HASOC 2023 test set is used to evaluate specialized models like BengaliSBERT, GujaratiSBERT, and assamese-bert, focusing on state-of-the-art performance in hate speech detection and offensive content classification. This dataset enables researchers to assess the effectiveness of these models in identifying and classifying harmful content, contributing to the development of more robust and culturally sensitive natural language processing systems.",https://doi.org/10.48550/arXiv.2211.11418 (2022),https://hasocfire.github.io/hasoc/2023/task1.html,https://doi.org/10.48550/arXiv.2310.02249 (2023)
154,Assamese,IndicCorp,Text,Transliteration,"The IndicCorp dataset is primarily used for training and evaluating models on Assamese language tasks, focusing on transliteration accuracy, consistency, and readability. It provides a large corpus of Indic language data, including parallel and monolingual texts, which supports the development of transliteration systems and enhances performance in language processing tasks. The dataset is also utilized for mining word pairs and creating lexical resources, contributing to multilingual text processing and machine translation, especially for low-resource languages like Assamese.",,https://opendatalab.com/OpenDataLab/IndicCorp,https://doi.org/10.18653/v1/2023.findings-emnlp.4 (2022)
155,Assamese,IndicTTS database,Speech,Speech Synthesis,"The IndicTTS database is used to select neutral-like utterances across a diverse range of domains, contributing to the creation of a comprehensive dataset for Indian languages. This methodology ensures a broad representation, enabling research in speech synthesis and natural language processing for multiple Indian languages.",https://doi.org/10.18653/v1/2024.acl-long.843 (2024),https://huggingface.co/collections/SPRINGLab/indictts-datasets-6757d20ec68d32dbcd3e3951,https://doi.org/10.48550/arXiv.2407.14056 (2024)
157,Assamese,L3Cube-IndicQuest,Text,Question Answering,"The L3Cube-IndicQuest dataset is used to evaluate the performance of large language models on question answering tasks specific to Indic languages. It focuses on assessing context sensitivity and knowledge accuracy, enabling researchers to analyze how well these models handle linguistic nuances and factual information in Indic languages.",https://doi.org/10.48550/arXiv.2409.08706 (2024),,https://doi.org/10.1109/RAIT65068.2025.11089369 (2025)
158,Assamese,Leipzig Corpora Collection (WikiDump),Text,Linguistic Analysis,"The Leipzig Corpora Collection (WikiDump) is used to provide a multi-lingual dataset consisting of Wikipedia content, enabling researchers to compare and analyze Assamese language data. This dataset facilitates linguistic analysis by offering a rich, structured resource that supports cross-linguistic studies and comparisons, enhancing understanding of the Assamese language within a broader multilingual context.",https://doi.org/10.1007/978-3-642-20128-8_8 (2013),https://wortschatz.uni-leipzig.de/en/download/Assamese,https://doi.org/10.1109/I3CS58314.2023.10127567 (2023)
159,Assamese,linked Indian Wordnets,Lexical,Lexicon/Dictionary,"The linked Indian Wordnets dataset is used to generate true cognate data, which is essential for creating a cognate dataset. This dataset specifically aids in improving the accuracy of phylogenetic trees for Indian languages, including Assamese. The methodology involves leveraging the structured lexical relationships within the Wordnets to identify and validate cognates, enhancing the precision of linguistic evolutionary studies.",https://doi.org/10.1145/3297001.3297045 (2019),https://github.com/cfiltnlp/IWN-En,https://www.semanticscholar.org/paper/f126edb612d87fe5b68b5170d242a2f2f31a2e0f (2020)
160,Assamese,Mann Ki Baat test set,Speech,Machine Translation,"The Mann Ki Baat test set is used to evaluate the translation quality and consistency of models translating the Indian Prime Minister’s speeches into 8 Indic languages, including Assamese. This dataset facilitates the assessment of translation accuracy and coherence, enabling researchers to compare model performance across different languages.",https://www.semanticscholar.org/paper/d0986c1792bb6565804985e3ecfd2cae4509a5c3 (2020),https://quiz.mygov.in/quiz/mann-ki-baat-100-quiz/,https://doi.org/10.1162/tacl_a_00452 (2021)
161,Assamese,Mozilla Common Voice,Speech,Speech Recognition/Understanding,"The Mozilla Common Voice dataset is used to evaluate the performance of pre-trained models combined with machine learning classifiers, specifically focusing on voice recognition accuracy. This dataset enables researchers to assess and improve the effectiveness of voice recognition systems by providing a diverse set of audio samples.",https://doi.org/10.1109/cvpr.2016.90 (2015),https://commonvoice.mozilla.org/en/datasets,https://doi.org/10.1109/ACCESS.2023.3316142 (2023)
162,Assamese,online handwritten Assamese characters dataset,Handwriting,Character Recognition,"The online handwritten Assamese characters dataset is used to collect and analyze samples of 121 conjunct consonants, 10 numeric characters, and 52 basic alphabetic characters. This dataset focuses on character recognition and analysis, employing methodologies that involve collecting online handwritten samples. It enables research into the accurate identification and classification of Assamese characters, supporting advancements in handwriting recognition technology.",,https://archive.ics.uci.edu/dataset/208/online+handwritten+assamese+characters+dataset,https://doi.org/10.3745/JIPS.02.0008 (2015)
163,Assamese,OPUS3,Text,Linguistic Research,"The OPUS3 dataset is used to collect sentence-aligned corpora for linguistic research. It has been utilized to gather data specifically for the Assamese language, enhancing linguistic studies by providing aligned sentences. The dataset, collected on 21 March 2021, supports research into language structure and usage, facilitating detailed analysis and comparison.",https://www.semanticscholar.org/paper/f4af3fe736b616452424d50cbd47d52f0a210582 (2020),https://opus.nlpl.eu/Samanantar/corpus/version/Samanantar,https://doi.org/10.1162/tacl_a_00452 (2021)
164,Assamese,"parallel corpus 20,000 (approx) sentences",Unknown,Not specified,"The dataset 'parallel corpus 20,000 (approx) sentences' is mentioned in the citation context but lacks detailed descriptions of its usage in specific research. Therefore, there is no evidence to describe its application, methodology, research questions, or enabling capabilities in any particular study.",https://www.semanticscholar.org/paper/c794da8601b9d77635d7204b49aa10decd4cacd7 (2015),,https://doi.org/10.1145/3469721 (2021)
166,Assamese,PMIndia,Text,Machine Translation,"The PMIndia dataset is used to explore parallel corpora of Indian languages, particularly Assamese, supporting language processing tasks and resource development. It provides parallel data for Assamese and other Indian languages, facilitating machine translation and cross-lingual research. This dataset enables researchers to develop and improve language technologies by leveraging its rich parallel text resources.; The PMIndia dataset is used to provide parallel data for Assamese and other Indian languages, enabling research in multilingual natural language processing and machine translation. It facilitates the development and evaluation of models that can handle multiple Indian languages, enhancing the accuracy and efficiency of translation systems.",https://www.semanticscholar.org/paper/81ed0e757ae2d66a43d73407ad6f7e0359adf6d7 (2020),,https://doi.org/10.18653/v1/2023.wmt-1.56 (2023); https://doi.org/10.18653/v1/2020.loresmt-1.9 (2020)
170,Assamese,Xlit-IITB-Par,Text,Machine Translation,"The Xlit-IITB-Par dataset is primarily used for transliteration research, focusing on improving the accuracy and consistency of transliteration models for Indian languages. It is applied to evaluate machine translation systems, compare parallel corpora, and enhance transliteration models by providing a diverse set of examples. The dataset is also used to study the readability and accuracy of transliterated content, particularly in children's stories.",https://www.semanticscholar.org/paper/a4a7467a02f9eef2e26dfec7efa01da936e8aa54 (2014),https://www.cfilt.iitb.ac.in/iitb_parallel/,https://doi.org/10.18653/v1/2023.findings-emnlp.4 (2022)
171,Assamese,XORQA,Text,Question Answering,"The XORQA dataset is used to develop and evaluate context-grounded question-answering (QA) systems for 11 Indic languages, including Assamese. It focuses on assessing the performance and capabilities of QA models in understanding and generating answers within specific linguistic contexts, thereby enabling researchers to improve multilingual QA systems for Indian languages.",https://doi.org/10.48550/arXiv.2407.13522 (2024),https://github.com/AkariAsai/XORQA,https://doi.org/10.1109/RAIT65068.2025.11089369 (2025)
172,Bavarian,automatically aligned German–Alemannic/Bavarian bitext,Text,Machine Translation,"The Bavarian dataset is used to create automatically aligned German–Alemannic/Bavarian bitexts, focusing on cross-lingual annotation and alignment for low-resource languages. This methodology involves aligning sentences between German and Bavarian/Alemannic dialects, enabling research in linguistic resource development and improving machine translation capabilities for under-resourced languages.",https://aclanthology.org/2023.nodalida-1.39 (2023),https://github.com/mainlp/dialect-BLI,https://doi.org/10.48550/arXiv.2304.09805 (2023)
173,Bavarian,Bavarian language dataset,Text,Parsing and Tagging,"The Bavarian language dataset is used for training and evaluating models in named entity recognition (NER) and part-of-speech tagging, particularly in non-standard German genres such as historical, chat, spoken, learner, and literary prose. It supports multilingual NER, enhancing cross-lingual performance. This dataset enables researchers to develop and test models that can accurately process and recognize entities in the Bavarian language, contributing to advancements in natural language processing for under-resourced languages.",,,https://doi.org/10.48550/arXiv.2403.12749 (2024)
175,Bavarian,Bavarian Treebank,Text,Parsing and Tagging,"The Bavarian Treebank is used to create a syntactically annotated corpus of Bavarian, which supports linguistic analysis and natural language processing tasks. It is employed to study the Bavarian language, focusing on linguistic features and dialectal variations. The dataset's syntactic annotations enable detailed examination of grammatical structures, enhancing understanding of the language's unique characteristics.",https://www.semanticscholar.org/paper/70026982e00bc01bec76148bfb7f14c982c4ab85 (2021),https://github.com/UniversalDependencies/UD_Bavarian-MaiBaam,https://doi.org/10.48550/arXiv.2304.09805 (2023)
176,Bavarian,bilingual Bavarian-German lexicon,Text,Machine Translation,"The bilingual Bavarian-German lexicon is used to train and evaluate translation systems, specifically focusing on the accuracy and coverage of the lexicon. This dataset enables researchers to assess the performance of translation models in converting between Bavarian and German, ensuring that the lexicon's comprehensive vocabulary supports high-quality translations.",https://www.semanticscholar.org/paper/56051929213235139795ed282f1ad0b30c549ac8 (2016),,https://doi.org/10.48550/arXiv.2304.09957 (2023)
177,Bavarian,BIOfid,Text,Named Entity Recognition,"The BIOfid dataset is used to analyze historical biodiversity literature in the Bavarian language, focusing on named entity recognition. Researchers employ natural language processing techniques to identify and categorize entities within the texts. This enables detailed analysis of historical biological data, enhancing understanding of biodiversity over time. The dataset's focus on Bavarian language sources provides unique insights into regional biodiversity history.; The BIOfid dataset is used to train models for NLP tasks, specifically focusing on the Bavarian language. It enables the analysis of linguistic patterns and entity recognition in historical biodiversity literature. This dataset supports research into the linguistic structure and content of historical texts, enhancing understanding and processing of specialized historical documents.",https://www.semanticscholar.org/paper/ed20e4ca1741b8b3a74a049010435cb6bf815c2d (2016),,https://doi.org/10.48550/arXiv.2403.12749 (2024)
180,Bavarian,DBÖ,Text,Lexicon/Dictionary,"The DBÖ dataset is used as a knowledge base for a comprehensive, joint approach combining dictionary and atlas data, specifically for the Bavarian language. It is utilized to curate, enrich, interlink, and publish Bavarian linguistic data in the LLOD platform, enhancing data management and interoperability. This enables detailed linguistic research and resource integration.",,"https://euralex.org/publications/database-of-bavarian-dialects-dbo-electronically-mapped-dboema-a-system-for-archiving-maintaining-and-field-mapping-of-heterogeneous-dialect-data-for-the-compilation-of-dialect-lexicons/#:~:text=Dialect%20Lexicons%20%E2%80%93%20Euralex-,Database%20of%20Bavarian%20Dialects%20(DB%C3%96)%20Electronically%20Mapped%20(dbo@,the%20Compilation%20of%20Dialect%20Lexicons&text=dbo@ema%20is%20a%20system,to%20the%20project%20dbo@ema.",https://www.semanticscholar.org/paper/a6653831335ca1101160c8959e1c622302c6a81f (2020)
181,Bavarian,DCK,Unknown,Not specified,"The dataset 'DCK' is mentioned in the citation context but lacks detailed descriptions of its usage, methodology, research questions, or specific characteristics. Therefore, there is insufficient evidence to provide a comprehensive description of how this dataset is actually used in research.",https://doi.org/10.1515/ZGL-2013-0009 (2013),https://www.uni-due.de/germanistik/beisswenger/aktivitaeten.php,https://www.semanticscholar.org/paper/56051929213235139795ed282f1ad0b30c549ac8 (2016)
183,Bavarian,German NoSta-D,Text,Named Entity Recognition,"The German NoSta-D dataset is used for Named Entity Recognition (NER) annotations in non-standard German genres. It includes historical, chat, spoken, learner, and literary prose data. Researchers employ this dataset to enhance NER models, addressing the challenges of varied and non-standard language forms. This enables more accurate entity recognition in diverse textual contexts, improving the robustness of natural language processing systems.",,https://www.linguistik.hu-berlin.de/de/institut/professuren/korpuslinguistik/forschung/nosta-d,https://doi.org/10.48550/arXiv.2403.12749 (2024)
184,Bavarian,GermEval 2014,Text,Named Entity Recognition,"The GermEval 2014 dataset is used to guide Named Entity Recognition (NER) annotations in Bavarian, aligning with German annotation guidelines and dataset structure. This facilitates consistent and standardized NER tasks, enabling researchers to develop and evaluate NER models specifically for the Bavarian language. The dataset's structured format supports the creation of annotated corpora, enhancing the accuracy and reliability of NER systems in Bavarian.; The GermEval 2014 dataset is used to study the Bavarian language by applying fine-grained annotations to derived and partially-contained named entities. Researchers adapt this dataset to enhance the precision of named entity recognition, focusing on linguistic nuances specific to Bavarian. This approach aids in developing more accurate natural language processing models for under-resourced languages.","https://www.semanticscholar.org/paper/0a1cf8dbb859c13cbdb40788d7e69060155f9d77 (2014), https://www.semanticscholar.org/paper/9b644bf5262e0d02d7ac25dab509d07d240b263a (2014)",https://sites.google.com/site/germeval2014ner/,https://doi.org/10.48550/arXiv.2403.12749 (2024)
186,Bavarian,Kontatti corpus,Speech,Linguistic Analysis,"The Kontatti corpus is used to analyze Bavarian speech data, focusing on multidialectal variations within the Bavarian language. It contributes to linguistic studies by eliciting comparable spoken data in minor languages, enabling researchers to make detailed observations about linguistic features and variations.",https://doi.org/10.22210/suvlin.2019.088.07 (2020),https://kontatti.projects.unibz.it/category/corpus/,https://doi.org/10.48550/arXiv.2403.10293 (2024)
189,Bavarian,NoStaD,Unknown,Not specified,"The dataset 'NoStaD' is mentioned in the citation context but lacks detailed descriptions of its usage, methodology, research questions, or specific characteristics. Therefore, there is insufficient evidence to provide a comprehensive description of how it is actually used in research.",https://www.semanticscholar.org/paper/0a1cf8dbb859c13cbdb40788d7e69060155f9d77 (2014),,https://doi.org/10.48550/arXiv.2403.12749 (2024)
193,Bavarian,XSID,Speech,Intent Classification and Slot Filling,"The xSID dataset is primarily used to test and enhance prediction accuracy in Bavarian dialects, particularly for slot and intent detection in digital assistant queries. It serves as a benchmark for comparing performance across different Bavarian dialects, such as South Tyrolean and Upper Bavarian. The dataset has been extended with additional dialectal data from various regions, including Upper Bavaria, Bernese Swiss German, Neapolitan, and Norwegian dialects, to support multilingual spoken language understanding tasks. This extension aids in evaluating the generalizability of models and studying the variability and standardization of Upper German dialects.; The XSID dataset is used to train and evaluate cross-linguistic models, particularly for Bavarian language tasks, including intent classification and slot filling. It focuses on the Austro-Bavarian German dialect, with 800 sentences per language, totaling 10,000 sentences. This dataset supports research in natural language processing, enabling the analysis and improvement of model performance on low-resource dialects like South Tyrolean (de-st).","https://www.semanticscholar.org/paper/d2dac0f91d12e2aa0c2471052fb8887cd81aa2ad (2024), https://doi.org/10.1109/ICASSP.2013.6639292 (2013)",https://huggingface.co/datasets/SEACrowd/xsid,https://doi.org/10.48550/arXiv.2501.03863 (2025); https://doi.org/10.48550/arXiv.2403.10293 (2024); https://doi.org/10.18653/V1/2021.NAACL-MAIN.197 (2021); https://www.semanticscholar.org/paper/733f61bfa5bffa1cebeceb0d22dfc654b3a7b911 (2024)
715,Bhojpuri,Bhojpuri,Unknown,Not specified,"The Bhojpuri dataset is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on specific methodologies, research questions, or characteristics of the dataset. Therefore, it cannot be accurately described how this dataset is used in research based on the provided evidence.",https://doi.org/10.1162/tacl_a_00065 (2016),https://huggingface.co/datasets/ankur02/bhojpuri,https://www.semanticscholar.org/paper/71a88ba9a07a7a290755430c2c6282008b85db12 (2019)
716,Bhojpuri,Bhojpuri UD,Text,Parsing and Tagging,"The Bhojpuri UD dataset is used to evaluate the performance of part-of-speech (POS) tagging in Bhojpuri, specifically focusing on the accuracy of universal dependency annotations. Researchers employ this dataset to assess and improve the precision of linguistic tagging tools, contributing to the development of more reliable natural language processing systems for the Bhojpuri language.",https://www.semanticscholar.org/paper/cc58ebb219feb0f6da5c0f52bed1721dcc4068a1 (2020),https://github.com/UniversalDependencies/UD_Bhojpuri-BHTB,https://doi.org/10.18653/v1/2024.findings-acl.857 (2024)
717,Bhojpuri,IITKGP-MLILSC,Speech,Language Identification,"The IITKGP-MLILSC dataset is used to develop and evaluate language identification systems, focusing on 27 Indian languages, including Bhojpuri. It employs speech data to enhance the accuracy of language recognition models. This dataset enables researchers to address the challenge of distinguishing between closely related Indian languages, contributing to advancements in multilingual speech processing and language technology.",https://doi.org/10.1109/NCC.2012.6176831 (2012),,https://doi.org/10.21437/s4sg.2022-1 (2022)
718,Bhojpuri,IndicVoices,Speech,Speech Recognition/Understanding,"The IndicVoices dataset is used to improve Automatic Speech Recognition (ASR) systems for Bhojpuri, a low-resource Indian language. It provides a large-scale, curated collection of audio and text pairs, which are leveraged to enhance ASR performance through web-mined data. This dataset supports ASR development by offering a diverse and rich set of audio and text pairs, thereby improving ASR accuracy and system robustness.",https://doi.org/10.1109/ICASSP49357.2023.10096933 (2022),https://github.com/AI4Bharat/IndicVoices,https://www.semanticscholar.org/paper/3a67a93afc0b0c3caf580ebb73d66d9a1b575c21 (2025)
a,Bhojpuri,SpeeS-IA,Unknown,Not specified,No feature description available.,https://doi.org/10.48550/arXiv.2206.12931 (2022),https://github.com/kmi-linguistics/SpeeD-IA,https://www.semanticscholar.org/paper/3a67a93afc0b0c3caf580ebb73d66d9a1b575c21 (2025)
722,Bhojpuri,ULCA NewsOnAir,Speech,Speech Recognition/Understanding,"The ULCA NewsOnAir dataset is used to train monolingual Bhojpuri models, focusing on enhancing speech recognition and language modeling. It provides 133.4 hours of news broadcast data, which improves the model's understanding of spoken language and robustness in diverse speech contexts, particularly in conversational speech. This dataset contributes to advancing the performance of Bhojpuri speech recognition systems by offering rich, varied speech data.",,https://github.com/Open-Speech-EkStep/ULCA-asr-dataset-corpus,https://www.semanticscholar.org/paper/3a67a93afc0b0c3caf580ebb73d66d9a1b575c21 (2025)
a,Bhojpuri,Vaani,Unknown,Not specified,No feature description available.,,https://vaani.iisc.ac.in/,https://www.semanticscholar.org/paper/3a67a93afc0b0c3caf580ebb73d66d9a1b575c21 (2025)
